value,word
POS,가*/JKS
POS,가*/JKS;있/VV
POS,가*/JKS;있/VV;었/EP
POS,가*/VV
POS,가*/VV;ㄴ다*/EF
NEG,가/JKC
NEG,가/JKC;되/VV
NEUT,가/JKC;되/VV;ㄴ/ETM
NEUT,가/JKC;되/VV;ㄹ/ETM
NEG,가/JKC;되/VV;어/EC
POS,가/JKC;되/VV;어야지요/EF
NEG,가/JKC;아니/VCN
NEG,가/JKC;아니/VCN;ㄴ가/EC
POS,가/JKC;아니/VCN;면/EC
NEG,가/JKC;아니/VCN;ㅂ니다/EF
NEG,가/JKS
POS,가/JKS;가능/NNG
POS,가/JKS;가능/NNG;하/XSA
NEG,가/JKS;가장/MAG
NEG,가/JKS;가장/MAG;많이/MAG
NEG,가/JKS;가장/MAG;어렵/VA
POS,가/JKS;굵/VA
NEG,가/JKS;그/MM
NEG,가/JKS;그/MM;동안/NNG
NEG,가/JKS;그리/MAG
NEG,가/JKS;그리/MAG;밝/VA
NEG,가/JKS;극대/NNG
NEG,가/JKS;극대/NNG;화/XSN
NEG,가/JKS;꺾이/VV
POS,가/JKS;꽤/MAG
POS,가/JKS;꽤/MAG;맞/VV
NEUT,가/JKS;꿈/NNG
NEUT,가/JKS;꿈/NNG;에/JKB
COMP,가/JKS;나/NP
COMP,가/JKS;나/NP;에게/JKB
NEG,가/JKS;나/VV
NEG,가/JKS;나오/VV
NEG,가/JKS;넘/VV
NEG,가/JKS;넘/VV;습니다/EF
NEG,가/JKS;높/VA
POS,가/JKS;높/VA;아/EC
POS,가/JKS;느끼/VV
POS,가/JKS;느끼/VV;어/EC
NEG,가/JKS;늘/VV
NEG,가/JKS;늘/VV;고/EC
NEUT,가/JKS;다르/VA
NEUT,가/JKS;다르/VA;게/EC
NEG,가/JKS;단절/NNG
COMP,가/JKS;더욱/MAG
COMP,가/JKS;더욱/MAG;막중/XR
NEG,가/JKS;돋아나/VV
NEUT,가/JKS;둘/NR
NEUT,가/JKS;둘/NR;로/JKB
NEG,가/JKS;들/VV
POS,가/JKS;뛰쳐나오/VV
POS,가/JKS;막/NNG
POS,가/JKS;막/NNG;을/JKO
POS,가/JKS;막대/XR
POS,가/JKS;막대/XR;하/XSA
NEG,가/JKS;많/VA
POS,가/JKS;많/VA;고/EC
NEG,가/JKS;많/VA;은/ETM
POS,가/JKS;많이/MAG
POS,가/JKS;많이/MAG;나오/VV
NEG,가/JKS;맞/VV
NEG,가/JKS;맞/VV;지/EC
POS,가/JKS;무대/NNG
POS,가/JKS;무대/NNG;를/JKO
NEG,가/JKS;바늘/NNG
NEG,가/JKS;바늘/NNG;에/JKB
NEUT,가/JKS;보/VV
NEUT,가/JKS;보/VV;기/ETN
POS,가/JKS;살아나/VV
POS,가/JKS;삼위일체/NNG
NEG,가/JKS;새/VV
NEG,가/JKS;새/VV;어/EC
NEG,가/JKS;생기/VV
POS,가/JKS;생기/VV;ㄴ다/EF
NEG,가/JKS;생기/VV;었/EP
NEG,가/JKS;성행/NNG
NEG,가/JKS;성행/NNG;하/XSV
NEG,가/JKS;속하/VV
NEG,가/JKS;속하/VV;아/EC
NEG,가/JKS;쉽/VA
NEG,가/JKS;쉽/VA;게/EC
POS,가/JKS;쉽/VA;지/EC
