v1,v2
0,같은
0,더
0,큰
0,주
0,같이
0,매우
0,잘
0,볼
0,다양한
0,중요한
0,프로
0,관련
0,좋은
0,하다
0,금
0,곧
0,시의
0,유명한
0,비슷한
0,보다
0,전체
0,최고
0,네
0,현대
0,단
0,사용할
0,강한
0,선
0,작품
0,정치
0,자기
0,고려
0,쉽게
0,최고의
0,강력한
0,뛰어난
0,사람
0,유명하다
0,아주
0,대
0,개인
0,자유
0,상당히
0,초
0,빠른
0,기술
0,젊은
0,넓은
0,인물
0,특별한
0,거대한
0,정확한
0,깊은
0,양
0,점
0,원
0,수상
0,상
0,혁명
0,미
0,충분히
0,아름다운
0,구조
0,오른쪽
0,상당한
0,지원
0,단순한
0,역사적
0,새롭게
0,보호
0,슈퍼
0,지도
0,지속적으로
0,미리
0,완전한
0,정확히
0,즉시
0,밝은
0,전용
0,크다
0,기능
0,방법
0,빨리
0,진행
0,강하게
0,간단한
0,해방
0,원하는
0,적절한
0,주요한
0,풍부한
0,우수한
0,전형적인
0,자유롭게
0,특징
0,이해
0,장관
0,충분한
0,참여
0,비밀
0,단일
0,오른
0,훌륭한
0,종류
0,계약
0,막대한
0,완전
0,좋아하는
0,활발한
0,통일
0,꽤
0,별의
0,연
0,분명히
0,특유의
0,승리
0,쉬운
0,위로
0,진정한
0,시인
0,일찍이
0,신성
0,작업
0,후한
0,성공한
0,고급
0,사랑
0,성공적으로
0,좋다
0,유지
0,수정
0,보물
0,개혁
0,평화
0,힘든
0,변호사
0,사전
0,뜨거운
0,순수한
0,굉장히
0,지배
0,강화
0,명예
0,가능
0,챔피언
0,자치
0,성과
0,공장
0,새벽
0,확실한
0,열심히
0,조정
0,가벼운
0,새로이
0,개정
0,지지
0,연대
0,보조
0,대단히
0,보수
0,교체
0,기호
0,완벽한
0,저명한
0,혁명의
0,편의
0,특성
0,주도
0,석사
0,꽃
0,중요하다
0,무료
0,협력
0,영구
0,중대한
0,접근
0,기초
0,우승한
0,사랑하는
0,하늘의
0,명확한
0,르네상스
0,유리한
0,전시
0,적당한
0,현상
0,하늘
0,권리
0,정상
0,논리
0,효과적으로
0,강하다
0,우익
0,반응
0,건강
0,성공
0,지식
0,인사
0,정당한
0,따뜻한
0,황금
0,영웅
0,찬성
0,신청
0,안정된
0,치료
0,국왕의
0,상품
0,안내
0,인기있는
0,개선
0,가치
0,팬
0,미래
0,명확하게
0,명백한
0,즐겨
0,단식
0,빛나는
0,부드러운
0,귀중한
0,전적으로
0,쉽다
0,탁월한
0,수행
0,치는
0,호의
0,자의
0,효율적인
0,광대한
0,리드
0,정통
0,원의
0,빛
0,마스터
0,감사합니다
0,차이
0,즐기는
0,스타일
0,자신
0,전설의
0,바른
0,날카로운
0,안전한
0,보호하는
0,획득
0,읽기
0,부활
0,유능한
0,마법
0,자랑하는
0,재산
0,대단한
0,활성화
0,이해하는
0,신앙
0,골드
0,주인
0,패배
0,양식
0,안전하게
0,좋아
0,행복한
0,복구
0,자격
0,달성
0,고전적인
0,휴대용
0,고정된
0,복원
0,맑은
0,형제의
0,고체
0,감사
0,신성한
0,통합된
0,친한
0,정교한
0,구속
0,좋게
0,우수
0,보너스
0,저렴한
0,승인
0,고양
0,손쉽게
0,값
0,이익
0,건강한
0,진보
0,멋진
0,깨끗한
0,활용
0,평면
0,열렬한
0,업그레이드
0,향상
0,수상자
0,신임
0,불타는
0,공정한
0,친선
0,즐거운
0,육성
0,평가하는
0,합리적인
0,두드러진
0,완전하게
0,세련된
0,정상적으로
0,톱
0,조명
0,무한한
0,회복
0,이긴
0,술
0,근무
0,도움
0,추천
0,전진
0,싼
0,신선한
0,동적
0,엘리트
0,전문적으로
0,편리한
0,거룩한
0,연인
0,실제의
0,다행히
0,예외적으로
0,안정
0,경의
0,화성의
0,지혜
0,선택하는
0,개량
0,충실한
0,온화한
0,충실히
0,현저하게
0,보장
0,승리의
0,solid
0,알맞은
0,투명한
0,재미있는
0,신속하게
0,천사
0,업적
0,스마트
0,증명
0,유효한
0,고무
0,교양
0,마법의
0,상승
0,희망
0,흥미로운
0,날인
0,옳은
0,후원
0,천재
0,열매
0,지류
0,뛰어나다
0,조용한
0,섬세한
0,미세한
0,우호적인
0,진실
0,신속한
0,클리어
0,열의
0,조화
0,궁전의
0,보석
0,밝게
0,자발적인
0,귀여운
0,진심으로
0,긍정적으로
0,바르게
0,납
0,악한
0,놀란
0,포괄적인
0,입체
0,눈부신
0,상단
0,도덕
0,확보
0,성숙한
0,발기인
0,구별
0,우승자
0,최적의
0,악기의
0,의지
0,소중한
0,부흥
0,불꽃
0,아름답게
0,보어
0,약속
0,매력적인
0,기분
0,컴팩트
0,신뢰성
0,즐겁게
0,유용하다
0,감사의
0,현저한
0,일관된
0,인상
0,명백하게
0,평화로운
0,튼튼한
0,숙련된
0,권위
0,맛
0,공공연히
0,탐색
0,영적인
0,믿음
0,진지하게
0,덕
0,기적
0,용기
0,발광
0,바람직한
0,신학자
0,부드럽게
0,원활한
0,용감한
0,곧장
0,우정
0,천사의
0,우아한
0,기이
0,장점
0,실사
0,친밀한
0,잘게
0,환상적인
0,현명한
0,진지한
0,대담한
0,평가한다
0,괜찮은
0,축하
0,신용
0,박람회
0,꽉
0,갱신
0,적응
0,불가사의
0,위안
0,이행
0,기부
0,합리적
0,성실한
0,예의
0,영광
0,쾌적한
0,애인
0,원활하게
0,의미있는
0,오아시스
0,트로피
0,장학금
0,신입생
0,미소
0,용이
0,강력
0,권위있는
0,교정
0,개선하는
0,혁신
0,제출
0,일치
0,강인한
0,신뢰
0,진실한
0,고귀한
0,훌륭하게
0,기꺼이
0,고르게
0,들리는
0,개량된
0,아름답다
0,합법적으로
0,귀한
0,정밀하게
0,예쁜
0,명성
0,천국
0,깨끗이
0,환영
0,복숭아
0,놀랍게도
0,날카롭게
0,트럼펫
0,정화
0,화해
0,정제
0,금고
0,금의
0,생생한
0,유쾌한
0,우물
0,설득
0,매매
0,공상
0,준비된
0,능숙한
0,농축
0,주인의
0,유익한
0,맛있는
0,기적적으로
0,고구마
0,걸작
0,친절한
0,즐긴다
0,소중히
0,창조적인
0,시원한
0,받침
0,경이
0,완화
0,값비싼
0,영웅의
0,돌기
0,호화로운
0,행복
0,진정으로
0,지성
0,이상적
0,추론
0,초과
0,일관성
0,유명하게
0,우상
0,똑바로
0,내리기
0,행복하게
0,유머
0,깨끗하게
0,정교
0,합리적으로
0,중류
0,기쁘게
0,재미
0,이성의
0,성자
0,굳은
0,장려
0,유연
0,충분하다
0,걸출한
0,자비
0,축제의
0,붐
0,각성
0,청소
0,제왕의
0,용사
0,열렬히
0,편안하게
0,권장
0,경제학의
0,경쟁의
0,재능
0,애정
0,기사도
0,공로
0,옹호
0,부디
0,낭만적
0,생존자
0,평화롭게
0,섹시한
0,보완
0,돌출된
0,허용되는
0,특권
0,신선
0,숭고한
0,가치있는
0,환영합니다
0,조언
0,두려움
0,혁명가
0,예민한
0,밝다
0,깔끔하게
0,기악
0,기쁜
0,주목할만한
0,웬만한
0,상냥한
0,미인
0,달게
0,뜨겁게
0,충성
0,증명된
0,꼭대기
0,콤팩트
0,주도적
0,영리
0,생산성
0,맞다
0,지지자
0,만기
0,틀림없다
0,열정
0,기울기
0,유망한
0,강력하다
0,유예
0,옳다
0,윤리적인
0,만족
0,섹시
0,보조금
0,무대의
0,매끄러운
0,확실하다
0,찬양
0,정직한
0,장엄한
0,일하다
0,도달
0,힘차게
0,합당
0,폭로
0,영리한
0,검소한
0,호소
0,지능형
0,매력
0,절약
0,라이터
0,교육적인
0,미녀
0,안정적
0,낫다
0,힘찬
0,세심한
0,선호
0,기쁨
0,존중
0,무적
0,명령한
0,단순화
0,고요한
0,명랑한
0,정확하다
0,저명
0,성취
0,성실
0,사랑스러운
